Name	lnBF_n1	lnBF_n1_err	lnBF_n2	lnBF_n2_err
GRB080916C	8.749624	0.054859	8.458009	0.054369
GRB081221	11.687716	0.057401	11.677138	0.053438
GRB090328	41.908001	0.084876	41.725537	0.082611
GRB090618	11.288996	0.056582	11.463036	0.053161
GRB090926A	6.645089	0.060653	7.300133	0.05862
GRB091003A	17.458683	0.059081	18.23662	0.055613
GRB100728A	16.534332	0.056121	16.382534	0.050901
GRB120119A	10.300903	0.05459	10.436407	0.051079
GRB130427A	14.357834	0.084085	11.523773	0.077044
GRB130518A	18.217042	0.064068	19.512181	0.066955
GRB130925A	18.842162	0.073271	18.064441	0.070296
GRB131108A	28.877589	0.065292	28.184305	0.057765
GRB131231A	36.422804	0.072536	35.410428	0.073203
GRB140206A	31.380214	0.074065	29.811808	0.05983
GRB140508A	9.670371	0.049795	10.273685	0.048162
GRB141028A	8.979223	0.04702	8.898417	0.044459
GRB150314A	49.443061	0.09244	47.961126	0.072905
GRB150403A	10.454553	0.050639	10.86743	0.054009
GRB150514A	10.15373	0.053246	10.151296	0.050262
GRB150821A	12.810487	0.059573	12.4748	0.05704
GRB160509A	9.39509	0.052426	9.381203	0.053419
GRB160625B	111.674361	0.10738	96.31769	0.092561
GRB171010A	11.706961	0.059591	11.664225	0.052148
GRB180703A	62.717057	0.06036	64.578544	0.058462
GRB180720B	11.500607	0.057136	11.583645	0.053954
GRB190114C	22.746373	0.072311	25.522501	0.073724
GRB200613A	9.137532	0.053125	9.188235	0.049555
GRB200829A	52.376043	0.079014	53.498353	0.072739
GRB201216C	11.220758	0.054799	11.206025	0.053913
GRB210204A	61.256155	0.071209	60.106276	0.061741
GRB210610B	9.907016	0.054349	9.731803	0.052293
GRB210619B	44.366695	0.085897	41.239487	0.094282
