Name	logE-evidence	error  

GRB080916C	-20.109924	0.052653
GRB081221	-11.918416	0.055910
GRB090328	-37.974201	0.083905
GRB090618	-23.783896	0.055161
GRB090926A	-7.724789	0.059154
GRB091003A	1.256717	0.057423
GRB100728A	-35.779132	0.054711
GRB120119A	-16.633903	0.053068
GRB130427A	-7.778034	0.082994
GRB130518A	-2.280442	0.062475
GRB130925A	-42.099762	0.072298
GRB131108A	-11.489589	0.063773
GRB131231A	-19.570704	0.071010
GRB140206A	-14.889214	0.072806
GRB140508A	-7.332571	0.048068
GRB141028A	-17.538923	0.045244
GRB150314A	-16.425461	0.091358
GRB150403A	-10.442953	0.048915
GRB150514A	-1.850730	0.051584
GRB150821A	-28.012887	0.058247
GRB160509A	-5.531390	0.050685
GRB160625B	-85.236861	0.106369
GRB171010A	-29.123461	0.058391
GRB180703A	-54.021357	0.058876
GRB180720B	-7.088907	0.055265
GRB190114C	-7.716873	0.070801
GRB200613A	-16.570232	0.051609
GRB200829A	-9.282443	0.077653
GRB201216C	-17.324458	0.053331
GRB210204A	-66.383855	0.070085
GRB210610B	-33.628316	0.053008
GRB210619B	-1.075295	0.084469
